Original Tagalog,Tokens,Reference English,Parsed,Parsed Tree (Compact),Parsed Tree (Pretty Single Line),Rewritten Tree (Compact),Rewritten Tree (Pretty Single Line),Rewritten Tagalog Text,Simple Lexical Translation
Wala akong oras para kumuha ng iba pang estudyante.,wala akong oras para kumuha ng iba pang estudyante.,I don't have time to take any more pupils.,True,"(S
  (V wala)
  (NP (NP (Pronoun akong)) (N oras))
  (PP (P para) (V kumuha))
  (NP (NP (NP (P ng) (N iba)) (Particle pang)) (N estudyante.)))",(S  (V wala)  (NP (NP (Pronoun akong)) (N oras))  (PP (P para) (V kumuha))  (NP (NP (NP (P ng) (N iba)) (Particle pang)) (N estudyante.))),"(S
  (V wala)
  (NP (NP (Pronoun akong)) (N oras))
  (PP (P para) (V kumuha))
  (NP (NP (NP (P ng) (N iba)) (Particle pang)) (N estudyante.)))",(S  (V wala)  (NP (NP (Pronoun akong)) (N oras))  (PP (P para) (V kumuha))  (NP (NP (NP (P ng) (N iba)) (Particle pang)) (N estudyante.))),wala akong oras para kumuha ng iba pang estudyante.,None/don't have/lacking i time/hour for to get/take of [iba] [pang] [estudyante.]
Maraming bata ang nananatili sa samahan kahit umulan.,maraming bata ang nananatili sa samahan kahit umulan.,Many children stay in the group even when it rains.,True,"(S
  (Adj
    (Adj (Adj maraming) (NP (N bata)))
    (NP (DET ang) (V nananatili)))
  (NP (NP (NP (P sa) (N samahan)) (Adv kahit)) (N umulan.)))",(S  (Adj   (Adj (Adj maraming) (NP (N bata)))   (NP (DET ang) (V nananatili)))  (NP (NP (NP (P sa) (N samahan)) (Adv kahit)) (N umulan.))),"(S
  (Adj
    (Adj (Adj maraming) (NP (N bata)))
    (NP (DET ang) (V nananatili)))
  (NP (NP (NP (P sa) (N samahan)) (Adv kahit)) (N umulan.)))",(S  (Adj   (Adj (Adj maraming) (NP (N bata)))   (NP (DET ang) (V nananatili)))  (NP (NP (NP (P sa) (N samahan)) (Adv kahit)) (N umulan.))),maraming bata ang nananatili sa samahan kahit umulan.,Many child [ang] staying to/at/in [samahan] even if/although [umulan.]
Bumalik ka bago mag ika-10.,bumalik ka bago mag ika-10.,You must be back before ten.,True,"(S
  (V bumalik)
  (NP (Pronoun ka))
  (PP (P bago) (NP (NP (N mag)) (N ika-10.))))",(S  (V bumalik)  (NP (Pronoun ka))  (PP (P bago) (NP (NP (N mag)) (N ika-10.)))),"(S
  (V bumalik)
  (NP (Pronoun ka))
  (PP (P bago) (NP (NP (N mag)) (N ika-10.))))",(S  (V bumalik)  (NP (Pronoun ka))  (PP (P bago) (NP (NP (N mag)) (N ika-10.)))),bumalik ka bago mag ika-10.,Return you before [mag] [ika-10.]
Wala akong kaligayahan kahit bumalik ka.,wala akong kaligayahan kahit bumalik ka.,nan,True,"(S
  (V wala)
  (NP (Pronoun akong))
  (NP (NP (NP (NP (N kaligayahan)) (Adv kahit)) (V bumalik)) (N ka.)))",(S  (V wala)  (NP (Pronoun akong))  (NP (NP (NP (NP (N kaligayahan)) (Adv kahit)) (V bumalik)) (N ka.))),"(S
  (V wala)
  (NP (Pronoun akong))
  (NP (NP (NP (NP (N kaligayahan)) (Adv kahit)) (V bumalik)) (N ka.)))",(S  (V wala)  (NP (Pronoun akong))  (NP (NP (NP (NP (N kaligayahan)) (Adv kahit)) (V bumalik)) (N ka.))),wala akong kaligayahan kahit bumalik ka.,None/don't have/lacking i happiness even if/although return [ka.]
Hindi siya nakarating sa samahan kahapon.,hindi siya nakarating sa samahan kahapon.,nan,True,"(S
  (NP (NP (Adv hindi) (NP (Pronoun siya))) (V nakarating))
  (P sa)
  (NP (NP (N samahan)) (N kahapon.)))",(S  (NP (NP (Adv hindi) (NP (Pronoun siya))) (V nakarating))  (P sa)  (NP (NP (N samahan)) (N kahapon.))),"(S
  (NP (NP (Adv hindi) (NP (Pronoun siya))) (V nakarating))
  (P sa)
  (NP (NP (N samahan)) (N kahapon.)))",(S  (NP (NP (Adv hindi) (NP (Pronoun siya))) (V nakarating))  (P sa)  (NP (NP (N samahan)) (N kahapon.))),hindi siya nakarating sa samahan kahapon.,Not he/she arrived to/at/in [samahan] [kahapon.]
"Hoy, iwasan mo yung tsismis ngayon.","hoy, iwasan mo yung tsismis ngayon.","Hey, avoid gossiping now.",True,"(S
  (NP (N hoy,))
  (VP
    (V iwasan)
    (Pronoun mo)
    (NP (NP (DET yung) (N tsismis)) (N ngayon.))))","(S  (NP (N hoy,))  (VP   (V iwasan)   (Pronoun mo)   (NP (NP (DET yung) (N tsismis)) (N ngayon.))))","(S
  (NP (N hoy,))
  (VP
    (V iwasan)
    (Pronoun mo)
    (NP (NP (DET yung) (N tsismis)) (N ngayon.))))","(S  (NP (N hoy,))  (VP   (V iwasan)   (Pronoun mo)   (NP (NP (DET yung) (N tsismis)) (N ngayon.))))","hoy, iwasan mo yung tsismis ngayon.","[hoy,] avoid you/your [yung] rumor [ngayon.]"
Iwasan ng maraming bata ang samahan.,iwasan ng maraming bata ang samahan.,nan,True,"(S
  (VP (VP (V iwasan)) (PP (P ng) (NP (Adj maraming) (N bata))))
  (NP (DET ang) (N samahan.)))",(S  (VP (VP (V iwasan)) (PP (P ng) (NP (Adj maraming) (N bata))))  (NP (DET ang) (N samahan.))),"(S
  (NP (DET ang) (N samahan.))
  (VP (VP (V iwasan)) (PP (P ng) (NP (Adj maraming) (N bata)))))",(S  (NP (DET ang) (N samahan.))  (VP (VP (V iwasan)) (PP (P ng) (NP (Adj maraming) (N bata))))),ang samahan. iwasan ng maraming bata,[ang] [samahan.] avoid of many child
Nabigyan siya ng pag-asa dahil doon.,nabigyan siya ng pag-asa dahil doon.,He took hope from that fact.,True,"(S
  (V nabigyan)
  (NP (Pronoun siya))
  (PP (P ng) (NP (N pag-asa)) (CONJ dahil) (NP (N doon.))))",(S  (V nabigyan)  (NP (Pronoun siya))  (PP (P ng) (NP (N pag-asa)) (CONJ dahil) (NP (N doon.)))),"(S
  (V nabigyan)
  (NP (Pronoun siya))
  (PP (P ng) (NP (N pag-asa)) (CONJ dahil) (NP (N doon.))))",(S  (V nabigyan)  (NP (Pronoun siya))  (PP (P ng) (NP (N pag-asa)) (CONJ dahil) (NP (N doon.)))),nabigyan siya ng pag-asa dahil doon.,Was given he/she of hope because [doon.]
Kailangan ng pintura ng bahay mo.,kailangan ng pintura ng bahay mo.,Your house needs painting.,True,"(S
  (VP
    (VP (V kailangan))
    (PP (P ng) (NP (N pintura) (P ng) (NP (NP (N bahay)) (N mo.))))))",(S  (VP   (VP (V kailangan))   (PP (P ng) (NP (N pintura) (P ng) (NP (NP (N bahay)) (N mo.)))))),"(S
  (VP
    (VP (V kailangan))
    (PP (P ng) (NP (N pintura) (P ng) (NP (NP (N bahay)) (N mo.))))))",(S  (VP   (VP (V kailangan))   (PP (P ng) (NP (N pintura) (P ng) (NP (NP (N bahay)) (N mo.)))))),kailangan ng pintura ng bahay mo.,Need of paint of house [mo.]
Kailangan mo ng oras para bumalik sa samahan.,kailangan mo ng oras para bumalik sa samahan.,nan,True,"(S
  (V kailangan)
  (NP (NP (Pronoun mo)) (PP (P ng) (N oras)))
  (PP (P para) (V bumalik))
  (NP (P sa) (N samahan.)))",(S  (V kailangan)  (NP (NP (Pronoun mo)) (PP (P ng) (N oras)))  (PP (P para) (V bumalik))  (NP (P sa) (N samahan.))),"(S
  (V kailangan)
  (NP (NP (Pronoun mo)) (PP (P ng) (N oras)))
  (PP (P para) (V bumalik))
  (NP (P sa) (N samahan.)))",(S  (V kailangan)  (NP (NP (Pronoun mo)) (PP (P ng) (N oras)))  (PP (P para) (V bumalik))  (NP (P sa) (N samahan.))),kailangan mo ng oras para bumalik sa samahan.,Need you/your of time/hour for return to/at/in [samahan.]
"Bago umulan, bumalik ka sa samahan.","bago umulan, bumalik ka sa samahan.",nan,True,"(S
  (P bago)
  (N umulan,)
  (VP (V bumalik) (Pronoun ka) (NP (P sa) (N samahan.))))","(S  (P bago)  (N umulan,)  (VP (V bumalik) (Pronoun ka) (NP (P sa) (N samahan.))))","(S
  (P bago)
  (N umulan,)
  (VP (V bumalik) (Pronoun ka) (NP (P sa) (N samahan.))))","(S  (P bago)  (N umulan,)  (VP (V bumalik) (Pronoun ka) (NP (P sa) (N samahan.))))","bago umulan, bumalik ka sa samahan.","Before [umulan,] return you to/at/in [samahan.]"
"Magsulat ng sanaysay tungkol sa ""Pagkakaibigan"".","magsulat ng sanaysay tungkol sa ""pagkakaibigan"".","Write an essay on ""Friendship"".",True,"(S
  (VP
    (VP (V magsulat))
    (PP
      (P ng)
      (NP (N sanaysay) (P tungkol) (NP (P sa) (N ""pagkakaibigan"".))))))","(S  (VP   (VP (V magsulat))   (PP    (P ng)    (NP (N sanaysay) (P tungkol) (NP (P sa) (N ""pagkakaibigan"".))))))","(S
  (VP
    (VP (V magsulat))
    (PP
      (P ng)
      (NP (N sanaysay) (P tungkol) (NP (P sa) (N ""pagkakaibigan"".))))))","(S  (VP   (VP (V magsulat))   (PP    (P ng)    (NP (N sanaysay) (P tungkol) (NP (P sa) (N ""pagkakaibigan"".))))))","magsulat ng sanaysay tungkol sa ""pagkakaibigan"".","To write of essay about to/at/in [""pagkakaibigan"".]"
Maagang umalis ang barko.,maagang umalis ang barko.,The ship left ahead of time.,True,(S (Adv maagang) (VP (V umalis) (DET ang) (N barko.))),(S (Adv maagang) (VP (V umalis) (DET ang) (N barko.))),(S (Adv maagang) (VP (V umalis) (DET ang) (N barko.))),(S (Adv maagang) (VP (V umalis) (DET ang) (N barko.))),maagang umalis ang barko.,[maagang] left [ang] [barko.]
Ano'ng pangalan ng pahina sa web mo?,ano'ng pangalan ng pahina sa web mo?,What's the name of your web page?,True,"(S
  (NP (NP (NP (N ano'ng)) (N pangalan)) (PP (P ng) (N pahina)))
  (P sa)
  (NP (NP (N web)) (N mo?)))",(S  (NP (NP (NP (N ano'ng)) (N pangalan)) (PP (P ng) (N pahina)))  (P sa)  (NP (NP (N web)) (N mo?))),"(S
  (NP (NP (NP (N ano'ng)) (N pangalan)) (PP (P ng) (N pahina)))
  (P sa)
  (NP (NP (N web)) (N mo?)))",(S  (NP (NP (NP (N ano'ng)) (N pangalan)) (PP (P ng) (N pahina)))  (P sa)  (NP (NP (N web)) (N mo?))),ano'ng pangalan ng pahina sa web mo?,[ano'ng] name of [pahina] to/at/in web [mo?]
"Hoy, magsulat ka ng sanaysay tungkol sa barko.","hoy, magsulat ka ng sanaysay tungkol sa barko.",nan,True,"(S
  (NP (NP (N hoy,)) (V magsulat))
  (NP (Pronoun ka))
  (PP (P ng) (NP (N sanaysay) (P tungkol) (NP (P sa) (N barko.)))))","(S  (NP (NP (N hoy,)) (V magsulat))  (NP (Pronoun ka))  (PP (P ng) (NP (N sanaysay) (P tungkol) (NP (P sa) (N barko.)))))","(S
  (NP (NP (N hoy,)) (V magsulat))
  (NP (Pronoun ka))
  (PP (P ng) (NP (N sanaysay) (P tungkol) (NP (P sa) (N barko.)))))","(S  (NP (NP (N hoy,)) (V magsulat))  (NP (Pronoun ka))  (PP (P ng) (NP (N sanaysay) (P tungkol) (NP (P sa) (N barko.)))))","hoy, magsulat ka ng sanaysay tungkol sa barko.","[hoy,] to write you of essay about to/at/in [barko.]"
Pakiramdam ko’y nananatili siya sa paaralan.,pakiramdam ko’y nananatili siya sa paaralan.,I feel like he's staying at school.,True,"(S
  (NP (NP (N pakiramdam)) (N ko’y))
  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))",(S  (NP (NP (N pakiramdam)) (N ko’y))  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.)))),"(S
  (NP (NP (N pakiramdam)) (N ko’y))
  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.))))",(S  (NP (NP (N pakiramdam)) (N ko’y))  (VP (V nananatili) (Pronoun siya) (NP (P sa) (N paaralan.)))),pakiramdam ko’y nananatili siya sa paaralan.,Feeling [ko’y] staying he/she to/at/in [paaralan.]
30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.,30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.,He has worked for the welfare of his people for 30 years.,True,"(S
  (NP
    (NP
      (NP (Number 30) (N taon))
      (Particle na)
      (NP (Pronoun siyang)))
    (V nagtatrabaho))
  (P para)
  (NP
    (NP (NP (P sa) (N kapakanan)) (PP (P ng) (NP (Pronoun kanyang))))
    (N taong-bayan.)))",(S  (NP   (NP    (NP (Number 30) (N taon))    (Particle na)    (NP (Pronoun siyang)))   (V nagtatrabaho))  (P para)  (NP   (NP (NP (P sa) (N kapakanan)) (PP (P ng) (NP (Pronoun kanyang))))   (N taong-bayan.))),"(S
  (NP
    (NP
      (NP (Number 30) (N taon))
      (Particle na)
      (NP (Pronoun siyang)))
    (V nagtatrabaho))
  (P para)
  (NP
    (NP (NP (P sa) (N kapakanan)) (PP (P ng) (NP (Pronoun kanyang))))
    (N taong-bayan.)))",(S  (NP   (NP    (NP (Number 30) (N taon))    (Particle na)    (NP (Pronoun siyang)))   (V nagtatrabaho))  (P para)  (NP   (NP (NP (P sa) (N kapakanan)) (PP (P ng) (NP (Pronoun kanyang))))   (N taong-bayan.))),30 taon na siyang nagtatrabaho para sa kapakanan ng kanyang taong-bayan.,30 year now/already he/she working for to/at/in welfare of his/her [taong-bayan.]
"Bumili ako ng kamera, pero nawala ko sa sumunod na araw.","bumili ako ng kamera, pero nawala ko sa sumunod na araw.","I bought a camera, but I lost it the next day.",True,"(S
  (V bumili)
  (NP (NP (Pronoun ako)) (PP (P ng) (N kamera,)))
  (CONJ pero)
  (V nawala)
  (NP
    (NP (NP (NP (Pronoun ko)) (PP (P sa) (V sumunod))) (Adv na))
    (N araw.)))","(S  (V bumili)  (NP (NP (Pronoun ako)) (PP (P ng) (N kamera,)))  (CONJ pero)  (V nawala)  (NP   (NP (NP (NP (Pronoun ko)) (PP (P sa) (V sumunod))) (Adv na))   (N araw.)))","(S
  (V bumili)
  (NP (NP (Pronoun ako)) (PP (P ng) (N kamera,)))
  (CONJ pero)
  (V nawala)
  (NP
    (NP (NP (NP (Pronoun ko)) (PP (P sa) (V sumunod))) (Adv na))
    (N araw.)))","(S  (V bumili)  (NP (NP (Pronoun ako)) (PP (P ng) (N kamera,)))  (CONJ pero)  (V nawala)  (NP   (NP (NP (NP (Pronoun ko)) (PP (P sa) (V sumunod))) (Adv na))   (N araw.)))","bumili ako ng kamera, pero nawala ko sa sumunod na araw.","Bought i of [kamera,] but lost/disappeared [ko] to/at/in followed now/already [araw.]"
Bumalik ako ng sanaysay sa paaralan.,bumalik ako ng sanaysay sa paaralan.,nan,True,"(S
  (VP (V bumalik) (Pronoun ako) (NP (P ng) (N sanaysay)))
  (NP (P sa) (N paaralan.)))",(S  (VP (V bumalik) (Pronoun ako) (NP (P ng) (N sanaysay)))  (NP (P sa) (N paaralan.))),"(S
  (NP (P sa) (N paaralan.))
  (VP (V bumalik) (Pronoun ako) (NP (P ng) (N sanaysay))))",(S  (NP (P sa) (N paaralan.))  (VP (V bumalik) (Pronoun ako) (NP (P ng) (N sanaysay)))),sa paaralan. bumalik ako ng sanaysay,To/at/in [paaralan.] return i of essay
Huwag mo kalimutang magdala ng payong.,huwag mo kalimutang magdala ng payong.,Don't forget to take an umbrella with you.,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))
  (NP (P ng) (N payong.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))  (NP (P ng) (N payong.))),"(S
  (NP (P ng) (N payong.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala)))",(S  (NP (P ng) (N payong.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V magdala))),ng payong. huwag mo kalimutang magdala,Of [payong.] don't you/your forget to bring
"Hoy, huwag mo kalimutang magsulat ng sanaysay.","hoy, huwag mo kalimutang magsulat ng sanaysay.",nan,True,"(S
  (NP (NP (N hoy,)) (V huwag))
  (NP (NP (NP (Pronoun mo)) (V kalimutang)) (V magsulat))
  (PP (P ng) (N sanaysay.)))","(S  (NP (NP (N hoy,)) (V huwag))  (NP (NP (NP (Pronoun mo)) (V kalimutang)) (V magsulat))  (PP (P ng) (N sanaysay.)))","(S
  (NP (NP (N hoy,)) (V huwag))
  (NP (NP (NP (Pronoun mo)) (V kalimutang)) (V magsulat))
  (PP (P ng) (N sanaysay.)))","(S  (NP (NP (N hoy,)) (V huwag))  (NP (NP (NP (Pronoun mo)) (V kalimutang)) (V magsulat))  (PP (P ng) (N sanaysay.)))","hoy, huwag mo kalimutang magsulat ng sanaysay.","[hoy,] don't you/your forget to write of [sanaysay.]"
Atin-atin lang ito.,atin-atin lang ito.,This is just among ourselves.,True,(S (NP (NP (Pronoun atin-atin)) (Adv lang)) (NP (N ito.))),(S (NP (NP (Pronoun atin-atin)) (Adv lang)) (NP (N ito.))),(S (NP (NP (Pronoun atin-atin)) (Adv lang)) (NP (N ito.))),(S (NP (NP (Pronoun atin-atin)) (Adv lang)) (NP (N ito.))),atin-atin lang ito.,Among ourselves only/just [ito.]
Ang putla niya. Baka may sakit siya.,ang putla niya. baka may sakit siya.,She looks pale. She may have been Ill.,True,"(S
  (NP (DET ang) (Adj (Adj putla) (NP (N niya.))) (N baka))
  (V may)
  (NP (NP (N sakit)) (N siya.)))",(S  (NP (DET ang) (Adj (Adj putla) (NP (N niya.))) (N baka))  (V may)  (NP (NP (N sakit)) (N siya.))),"(S
  (NP (DET ang) (Adj (Adj putla) (NP (N niya.))) (N baka))
  (V may)
  (NP (NP (N sakit)) (N siya.)))",(S  (NP (DET ang) (Adj (Adj putla) (NP (N niya.))) (N baka))  (V may)  (NP (NP (N sakit)) (N siya.))),ang putla niya. baka may sakit siya.,[ang] pale [niya.] [baka] have/has/there is [sakit] [siya.]
Natapos mo na bang basahin ang dyaryo ngayong araw?,natapos mo na bang basahin ang dyaryo ngayong araw?,Have you finished reading today's paper yet?,True,"(S
  (VP
    (V natapos)
    (NP (NP (NP (Pronoun mo)) (Adv na)) (Particle bang))
    (V basahin))
  (NP (NP (NP (DET ang) (N dyaryo)) (Adv ngayong)) (N araw?)))",(S  (VP   (V natapos)   (NP (NP (NP (Pronoun mo)) (Adv na)) (Particle bang))   (V basahin))  (NP (NP (NP (DET ang) (N dyaryo)) (Adv ngayong)) (N araw?))),"(S
  (NP (NP (NP (DET ang) (N dyaryo)) (Adv ngayong)) (N araw?))
  (VP
    (V natapos)
    (NP (NP (NP (Pronoun mo)) (Adv na)) (Particle bang))
    (V basahin)))",(S  (NP (NP (NP (DET ang) (N dyaryo)) (Adv ngayong)) (N araw?))  (VP   (V natapos)   (NP (NP (NP (Pronoun mo)) (Adv na)) (Particle bang))   (V basahin))),ang dyaryo ngayong araw? natapos mo na bang basahin,[ang] newspaper this [araw?] finished you/your now/already [bang] read
Huwag mo kalimutang basahin ang sanaysay ngayong araw.,huwag mo kalimutang basahin ang sanaysay ngayong araw.,nan,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))
  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))),"(S
  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin)))",(S  (NP (NP (NP (DET ang) (N sanaysay)) (Adv ngayong)) (N araw.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V basahin))),ang sanaysay ngayong araw. huwag mo kalimutang basahin,[ang] essay this [araw.] don't you/your forget read
Mas mainit-init na.,mas mainit-init na.,It has become much warmer.,True,(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),(S (Adj (Adv mas) (Adj mainit-init)) (NP (N na.))),mas mainit-init na.,More warmer [na.]
"Ang sabi niya, ""Ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","ang sabi niya, ""ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","He said, ""I will say nothing more, because I hate making excuses.""",True,"(S
  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))
  (NP (NP (Pronoun kong)) (N gumawa))
  (PP
    (P ng)
    (NP (N palusot,))
    (CONJ kaya)
    (NP
      (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))
      (NP (NP (N sasabihin)) (N pa."")))))","(S  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))  (NP (NP (Pronoun kong)) (N gumawa))  (PP   (P ng)   (NP (N palusot,))   (CONJ kaya)   (NP    (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))    (NP (NP (N sasabihin)) (N pa."")))))","(S
  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))
  (NP (NP (Pronoun kong)) (N gumawa))
  (PP
    (P ng)
    (NP (N palusot,))
    (CONJ kaya)
    (NP
      (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))
      (NP (NP (N sasabihin)) (N pa."")))))","(S  (NP (NP (NP (DET ang) (N sabi)) (N niya,)) (N ""ayaw))  (NP (NP (Pronoun kong)) (N gumawa))  (PP   (P ng)   (NP (N palusot,))   (CONJ kaya)   (NP    (Adj (Adj (Adj wala) (Particle na)) (NP (Pronoun akong)))    (NP (NP (N sasabihin)) (N pa."")))))","ang sabi niya, ""ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""","[ang] [sabi] [niya,] [""ayaw] my [gumawa] of [palusot,] so/maybe/can none/don't have/lacking now/already i [sasabihin] [pa.""]"
Pakibagalan niyo po ang inyong pagsasalita.,pakibagalan niyo po ang inyong pagsasalita.,"Speak more slowly, please!",True,"(S
  (NP (N pakibagalan))
  (NP
    (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))
    (N pagsasalita.)))",(S  (NP (N pakibagalan))  (NP   (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))   (N pagsasalita.))),"(S
  (NP (N pakibagalan))
  (NP
    (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))
    (N pagsasalita.)))",(S  (NP (N pakibagalan))  (NP   (NP (NP (Pronoun niyo)) (Particle po) (NP (DET ang) (N inyong)))   (N pagsasalita.))),pakibagalan niyo po ang inyong pagsasalita.,[pakibagalan] you(pl)/your(pl) [po] [ang] [inyong] [pagsasalita.]
Sa tingin ko OK lang.,sa tingin ko ok lang.,I think it's OK.,True,"(S
  (NP (P sa) (N tingin))
  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.)))",(S  (NP (P sa) (N tingin))  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.))),"(S
  (NP (P sa) (N tingin))
  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.)))",(S  (NP (P sa) (N tingin))  (NP (NP (NP (Pronoun ko)) (N ok)) (N lang.))),sa tingin ko ok lang.,To/at/in opinion/look [ko] [ok] [lang.]
Ipinakilala niya sa akin ang anak niyang babae.,ipinakilala niya sa akin ang anak niyang babae.,He introduced his daughter to me.,True,"(S
  (NP
    (NP (N ipinakilala) (Pronoun niya))
    (PP (P sa) (NP (Pronoun akin))))
  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.)))",(S  (NP   (NP (N ipinakilala) (Pronoun niya))   (PP (P sa) (NP (Pronoun akin))))  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.))),"(S
  (NP
    (NP (N ipinakilala) (Pronoun niya))
    (PP (P sa) (NP (Pronoun akin))))
  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.)))",(S  (NP   (NP (N ipinakilala) (Pronoun niya))   (PP (P sa) (NP (Pronoun akin))))  (NP (NP (DET ang) (N anak) (Pronoun niyang)) (N babae.))),ipinakilala niya sa akin ang anak niyang babae.,[ipinakilala] his/her to/at/in my/mine [ang] child/son/daughter his/her [babae.]
Maraming batang lalaki ang pumunta sa digmaan.,maraming batang lalaki ang pumunta sa digmaan.,Many young men went to war.,True,"(S
  (Adj
    (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))
    (NP (DET ang) (V pumunta)))
  (NP (P sa) (N digmaan.)))",(S  (Adj   (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))   (NP (DET ang) (V pumunta)))  (NP (P sa) (N digmaan.))),"(S
  (Adj
    (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))
    (NP (DET ang) (V pumunta)))
  (NP (P sa) (N digmaan.)))",(S  (Adj   (Adj (Adj maraming) (NP (NP (N batang)) (N lalaki)))   (NP (DET ang) (V pumunta)))  (NP (P sa) (N digmaan.))),maraming batang lalaki ang pumunta sa digmaan.,Many [batang] man/male [ang] went to/at/in [digmaan.]
Huwag mo kalimutang pumunta sa paaralan.,huwag mo kalimutang pumunta sa paaralan.,nan,True,"(S
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))
  (NP (P sa) (N paaralan.)))",(S  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))  (NP (P sa) (N paaralan.))),"(S
  (NP (P sa) (N paaralan.))
  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta)))",(S  (NP (P sa) (N paaralan.))  (VP (V huwag) (NP (NP (Pronoun mo)) (V kalimutang)) (V pumunta))),sa paaralan. huwag mo kalimutang pumunta,To/at/in [paaralan.] don't you/your forget went
Maraming uri ng kape.,maraming uri ng kape.,There are various kinds of coffee.,True,(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),(S (NP (Adj maraming) (N uri)) (NP (P ng) (N kape.))),maraming uri ng kape.,Many type/kind of [kape.]
Maraming kaakit-akit na hayop sa Australia.,maraming kaakit-akit na hayop sa australia.,There are many interesting animals in Australia.,True,"(S
  (Adj
    (Adj maraming)
    (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))
  (NP (P sa) (N australia.)))",(S  (Adj   (Adj maraming)   (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))  (NP (P sa) (N australia.))),"(S
  (Adj
    (Adj maraming)
    (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))
  (NP (P sa) (N australia.)))",(S  (Adj   (Adj maraming)   (NP (Adj (Adj kaakit-akit) (Particle na)) (N hayop)))  (NP (P sa) (N australia.))),maraming kaakit-akit na hayop sa australia.,Many interesting now/already animal to/at/in [australia.]
Magpapalaki ako ng maraming puno rito.,magpapalaki ako ng maraming puno rito.,I will grow many trees here.,True,"(S
  (V magpapalaki)
  (NP (Pronoun ako))
  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.))))",(S  (V magpapalaki)  (NP (Pronoun ako))  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.)))),"(S
  (V magpapalaki)
  (NP (Pronoun ako))
  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.))))",(S  (V magpapalaki)  (NP (Pronoun ako))  (PP (P ng) (NP (Adj (Adj maraming) (NP (N puno))) (N rito.)))),magpapalaki ako ng maraming puno rito.,Will grow i of many tree/full [rito.]
